marca,modelo,modelo_anyo,precio_contado,precio_financiado,precio_nuevo,fecha_matriculacion,combustible,kilometraje,carroceria,garantia,color,distintivo_medioambiental,largo,ancho,alto,batalla,volumen_maletero,mma,numero_puertas,numero_plazas,cilindrada,numero_cilindros,sobrealimentacion,traccion,tipo_cambio,numero_marchas,potencia_kw,potencia_cv,par_nm,velocidad_maxima,aceleracion,consumo_urbano,consumo_carretera,consumo_medio,co2,capacidad_deposito,pais,provincia,vendedor
VOLKSWAGEN,Passat,2018,15500,14900,39701,02/2018,diesel,197020,stationwagon,12 ,gris / metalizado,,4767,1832,1477,2791,650/1780,2040,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,7,110,150,340,216,8.9,5.1,3.8,4.3,113.0,59.0,spain,castellon,vendedor profesional
ABARTH,595,2019,26900,,35250,09/2019,gasolina,24500,convertible,12 ,gris / metalizado,,3660,1627,1485,2300,185/520,1465,2,4,1368,4,turbo,delantera,automatica secuencial,5,132,180,250,225,6.9,8.2,5.8,6.7,153.0,35.0,spain,barcelona,vendedor profesional
AUDI,Q5,2023,52900,51300,57901,03/2023,diesel,16500,todo terreno,24 ,blanco,,4682,1893,1662,2819,520/1520,2420,5,5,1968,4,turbo de geometria variable,delantera,automatica secuencial,7,120,163,370,213,9.0,5.5,4.4,4.8,125.0,65.0,spain,cadiz,vendedor profesional
BMW,X3,2016,26450,,46800,10/2016,diesel,137521,todo terreno,0,negro / metalizado,,4657,1881,1661,2810,550/1600,2350,5,5,1995,4,turbo de geometria variable,todo terreno traccion total permanente,manual,6,140,190,400,210,8.1,6.1,5.0,5.4,142.0,67.0,spain,madrid,vendedor profesional
NISSAN,Qashqai,2019,17600,,29500,03/2019,gasolina,74369,todo terreno,12 ,blanco / metalizado,,4394,1806,1590,2646,430/1598,1870,5,5,1332,4,turbo,delantera,manual,6,103,140,240,193,10.5,6.7,4.6,5.3,122.0,55.0,spain,madrid,vendedor profesional
LAND-ROVER,Range Rover Evoque,2018,24990,23990,48339,05/2018,diesel,84163,todo terreno,12 ,gris,,4371,2090,1660,2660,575/1445,2375,5,5,1999,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,9,110,150,430,180,10.0,6.6,3.6,5.1,164.0,63.0,spain,madrid,vendedor profesional
AUDI,A4,2018,19000,17500,37905,08/2018,diesel,158684,stationwagon,12 ,-,,4725,1842,1431,2820,505/1510,2095,5,5,1968,4,turbo de geometria variable,delantera,manual,6,110,150,320,215,9.2,4.8,3.6,4.0,104.0,40.0,spain,castellon,vendedor profesional
BMW,X3,2023,61890,59890,59900,03/2023,diesel,15030,todo terreno,24 ,saphirschwarz (metalizado) / metalizado,,4708,1891,1676,2864,550/1600,2500,5,5,1995,4,turbo de geometria variable,todo terreno traccion total permanente,automatica secuencial,8,140,190,400,213,9.0,0.0,0.0,0.0,,68.0,spain,pontevedra,vendedor profesional
NISSAN,Micra,2021,13190,12000,20255,04/2021,gasolina,44353,berlina,12 ,azul,,3999,1935,1455,2525,300/0,1550,5,5,999,3,turbo,delantera,manual,5,68,92,160,178,11.8,5.5,3.9,4.5,103.0,41.0,spain,madrid,vendedor profesional
OPEL,Corsa,2018,8900,,18150,01/2018,gasolina,99998,berlina,12 ,rojo / metalizado,,4021,1746,1481,2510,285/1120,1615,5,5,1398,4,,delantera,manual,5,66,90,130,175,13.2,6.5,4.3,5.1,132.0,45.0,spain,madrid,vendedor profesional
